>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月12日0时0分0秒->2022年4月12日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.56195                  0.69103                  0.77861
-1.15696                  1.88024                  2.22110
-1.88000                  2.02324                  3.92455
-0.83659                  0.75108                  3.37414
-1.20861                  0.54713                 -0.22189
-0.98525                  0.93593                  2.18949
-0.80241                  0.65203                  3.23240
-0.94673                  0.91914                  5.76278
-0.85047                  0.88255                  1.86188
-0.50901                  0.18716                  2.15433
-0.73415                  1.24450                  1.71229
-0.77792                  0.99650                  0.60752
-1.32887                  1.82705                  4.99762
-1.16169                  0.74614                 -0.18877
-0.00904                  0.99525                  0.02633
-0.67671                  0.22645                 -0.49607
-0.83904                  1.16090                  3.36819
-0.16658                  0.50382                  1.14927
-1.74942                  0.95118                  4.76766
-0.78544                  1.29428                  3.87526
-0.90864                  0.60636                  0.11931
-0.78210                  1.01035                  1.66708
-0.66119                  0.74546                  0.84337
-0.25750                  0.60341                 -0.90014
-0.65419                  0.85657                  2.47744
-0.23811                  1.50794                  1.19073
-0.53817                  1.25059                  2.88846
-0.86141                  0.87050                  1.21208
-0.85287                  0.78902                  3.44420
-0.89028                  0.28745                  1.78098
-0.65301                  0.36974                  2.14997
-1.07749                  0.59949                  2.12947
-0.13199                  0.49890                 -2.29185
-0.42956                  0.77353                  1.41081
-0.98144                  0.42873                 -0.66082
-0.32391                  1.17068                  2.04113
-0.31903                  0.55537                  2.68553
0.08040                  1.28004                 -2.04396
-0.50586                  1.04680                  1.60657
-0.77232                  0.47377                  0.86229
-0.51160                  0.58656                 -0.73712
0.23749                 -0.49810                 -0.81331
-0.35988                  0.38172                  1.68115
-0.16387                  1.31063                 -1.25406
-0.34287                  0.69739                 -1.09796
-0.95839                  1.27070                  0.05669
-0.78912                  0.29868                  0.05894
-0.08692                  0.91945                  0.43260
0.13672                  1.01604                 -0.36665
-0.76893                  0.60964                  3.28781
-0.13508                  0.75144                 -0.67123
0.02298                  1.04790                 -0.54574
-0.49697                  0.60125                  1.73926
-0.15983                  0.86444                 -2.00297
0.02408                  1.02444                 -1.69168
-0.97794                  0.66262                  0.81633
-0.98154                  1.01491                  1.91916
-0.30371                  0.60393                 -0.94427
-0.37810                  0.75833                 -1.24505
-0.69134                 -0.53560                  0.80133
-0.54047                  0.09938                  1.92729
-0.31572                  0.92938                  0.04827
-0.83537                  0.79854                 -0.69709
-1.11986                  0.12193                  2.44188
-0.35114                  1.14743                 -0.75128
-0.18914                  0.98424                 -0.22758
-0.43520                  1.32952                 -0.26873
-1.85484                  0.45314                 -0.19063
-1.39836                  1.37494                 -0.76277
-1.09389                  0.73832                  0.55436
-0.18232                  0.96046                  0.70993
-0.09380                  1.23422                  1.16070
-0.72534                  1.05431                 -2.81278
-0.23609                  0.70189                 -1.03592
-0.39483                 -0.86402                 -0.51172
-0.64993                  0.46370                  0.69002
-0.13814                  1.18150                 -0.62201
-0.27054                  0.74280                  0.02623
-1.22770                  0.18473                  2.15198
-0.58540                  0.78151                  0.60282
0.34153                  0.04462                 -0.29583
-0.18302                  0.78593                 -0.92250
-0.86570                 -0.67246                  0.19367
0.29475                 -0.26770                  1.19280
-0.64277                  1.05869                 -1.15484
0.23215                  1.12733                 -1.21944
-0.48915                  0.38806                  0.52662
-0.53925                  0.04014                  1.93505
-0.16267                 -0.05669                 -0.67109
0.13545                  0.51716                  0.91284
-0.62056                 -0.11549                 -1.31579
-0.02436                 -1.28283                  0.50688
0.10256                  1.49293                  0.35434
0.03285                  0.56420                 -0.24074
-0.74433                  0.67935                  1.86686
-0.01540                  1.08051                  0.79476
0.39155                  0.73348                 -0.93066
-0.32674                 -0.57224                  0.13323
-0.49716                  0.36407                 -0.39470
0.16267                  0.10347                  2.52987
0.04691                 -0.12627                  1.18057
-0.34824                  0.47214                 -1.20401
-0.15698                  0.79050                  1.09383
-0.37559                  0.02914                 -0.08282
-0.44157                 -0.17318                  1.83388
-0.47016                  0.02783                  0.00703
-0.34356                  0.37664                 -0.58258
-0.44284                 -0.28179                  2.05241
-0.22424                  0.35667                  1.22279
-0.18985                  0.02178                  0.45732
1.12792                  0.23650                  0.82927
0.13855                 -1.39121                  0.63854
-0.17879                  0.57987                  0.21607
-0.59089                 -0.86746                  2.89132
-0.61080                  0.71314                  0.00755
-0.28420                 -0.07883                  0.29572
0.26523                  0.71778                  1.15237
0.08746                  0.63456                 -1.00193
-0.50518                  0.33977                  1.39490
-0.65482                 -0.77377                  0.76560
0.18380                  1.10370                 -1.03316
0.35948                  0.79933                  0.30962
-1.04912                  0.39657                  1.04615
-0.94707                 -1.04872                  1.58891
-0.26057                 -0.47815                  0.45889
-0.12599                 -0.83096                  0.59594
1.01627                 -0.70764                  0.76955
-0.96442                  0.39462                 -1.62770
-0.56936                  0.22845                  1.85714
0.02533                  0.77793                  1.56085
-0.61843                  0.67915                 -0.73041
-0.53377                 -1.84477                  1.31451
-0.81085                  0.50401                 -1.43225
0.19537                  0.72027                  2.72542
-0.62867                 -0.48376                  3.16903
-0.07158                  0.03062                  2.88191
0.09693                 -0.11972                  1.72559
0.19482                 -1.83347                  1.39115
0.69930                  0.27740                  0.89651
-0.39202                  0.24816                  0.32421
0.41617                 -1.30383                  3.33403
0.89694                  0.03780                  0.92961
-0.22983                  0.25946                  0.56976
0.42070                 -1.11719                  2.12935
-0.71519                 -0.33141                  1.58750
-0.43919                  0.43116                  0.75653
-0.04379                 -1.78150                  2.02822
0.09984                 -0.10389                  0.27152
-0.54554                  0.02610                 -0.61711
0.10431                 -0.09646                  1.98970
-0.50545                 -0.79142                  1.92461
-0.19973                 -0.38531                  1.64736
-1.54510                 -0.09191                 -1.32484
-0.37838                 -1.29010                 -0.32916
0.09843                  0.20851                  2.48036
-0.87284                 -1.11382                  2.09878
0.35078                  0.18909                  2.13496
1.41242                  0.49274                  1.52730
-0.09296                  0.92590                 -0.73365
1.25530                 -0.25740                  3.83965
0.20050                  0.31096                  1.52237
0.35968                  1.20440                  1.88840
-0.81022                 -0.13758                  2.36002
0.42650                  0.15414                  2.56881
0.71092                  0.04912                 -0.01386
-0.97052                 -0.48877                  0.58174
-0.44274                 -0.73009                  1.93736
-0.13800                 -0.74436                  1.39116
0.29392                 -0.22529                  0.63670
0.74042                 -0.00119                 -0.08742
0.21577                  0.83089                  2.55330
-0.03706                 -0.69183                  0.72343
-0.42131                 -1.10392                  1.54127
0.24518                 -1.41107                  0.71077
-0.60417                  0.40107                 -0.04421
0.62586                 -0.50740                  2.10709
-0.16235                 -1.22481                  0.36551
-0.22340                 -0.58397                  2.82365
-0.11652                 -0.19859                  1.13298
-0.38361                  0.30028                  1.91655
-0.33170                 -1.00696                  1.75061
0.15018                 -0.17113                  2.02079
-0.32752                 -0.13273                  0.86310
0.16178                 -0.35009                  2.48393
0.00387                  0.52889                  1.33866
0.06817                 -1.01061                  2.14105
0.24543                 -0.09551                  2.04232
-0.04556                  0.21627                  0.98058
0.80640                  1.66726                  1.52373
0.77917                  0.64477                  1.44198
-0.42254                 -1.24354                  3.33437
-0.65708                 -0.35027                  1.54810
-0.78517                 -1.01530                 -0.05296
-0.06660                 -1.14343                  1.15091
-0.44256                 -0.60176                  0.53141
-0.23398                 -0.62192                  3.14860
-0.09523                 -0.28965                  1.31940
-1.00602                 -1.30336                  2.21602
-0.66481                 -0.32833                  0.09323
-0.29817                 -0.59963                  1.28876
-0.88386                 -1.29516                 -0.29074
-0.34727                  0.30199                  2.59689
0.58441                  1.33471                  3.75831
-0.12443                 -0.10518                 -0.52039
0.31762                  0.31253                  0.97812
-0.08694                  0.11923                  1.18488
0.62358                  0.84630                  1.04992
-0.11201                 -0.66719                  1.59681
-0.42615                  0.49853                  4.87317
-0.08583                 -0.52938                  2.05079
0.04318                 -0.07530                  2.61907
-0.26684                 -0.94263                  0.10056
0.25145                  0.68184                  2.68404
0.01705                  0.64740                  0.32091
0.75125                 -0.02504                  2.19301
0.56900                  0.52023                 -0.38463
-0.71395                  0.62608                  1.60972
-0.29834                 -0.33144                 -0.21301
-0.36245                  0.25261                  3.34748
0.28950                  0.52403                 -0.24582
-0.12410                  0.53180                  2.18261
-0.43413                 -0.38735                  0.78204
0.67072                  0.79448                  2.37016
-0.41202                 -0.29902                  0.37251
0.16279                  0.02872                  0.40716
0.45477                 -0.61049                 -1.09315
-0.60842                 -0.24402                 -0.46373
0.03786                 -0.00350                  3.67586
0.87421                 -0.06119                  1.89228
-0.36799                 -0.48836                  2.27262
-0.26509                 -0.73293                  0.57513
0.22718                  0.40318                  2.77439
-0.83255                 -0.53175                 -0.16499
0.16214                  0.22311                  1.57552
0.30995                  0.21303                 -1.16626
0.64610                  0.51891                 -0.05203
0.47740                  0.81500                  1.65298
-0.02397                  0.21382                  0.94017
0.57233                  0.93572                  2.52957
0.06148                  0.70927                  0.84565
0.37713                  0.74559                 -1.09380
0.04022                  0.15393                  2.84870
0.19107                  0.21791                  0.94616
1.04064                  1.20711                  2.98519
0.43520                  1.29588                  4.57456
-0.01364                  1.28582                  3.41122
0.46684                  0.24532                  2.36744
0.21321                 -1.30214                 -1.03425
0.40856                  0.10269                 -0.36585
0.47633                 -0.11582                  1.03119
0.49792                  0.06086                  0.93433
1.16926                 -0.72306                  1.65619
0.05831                  0.25303                  0.34168
0.12617                 -0.29749                 -0.39822
-0.71254                 -0.17224                  0.26880
0.64740                  1.67655                  1.74512
0.45615                  0.54877                 -0.49859
0.68623                  0.22967                  0.60019
0.80259                  0.21328                 -4.22716
0.00634                 -0.54173                 -1.64701
0.59453                 -0.27726                  0.42060
0.60646                  0.22591                  0.45965
-0.13719                 -0.37548                 -0.24873
-0.26861                  0.14950                  0.48785
-0.61209                 -0.45052                  2.38903
0.29238                 -0.95905                  0.08973
-0.07365                  0.73447                 -0.95289
0.27885                 -0.24389                 -0.46929
0.90344                  0.18947                  2.25731
0.34691                  0.96275                 -1.28469
-0.44606                 -0.48879                 -2.74414
0.90707                  0.65319                 -2.27775
-0.28657                 -0.00520                  0.84670
0.86996                  0.25874                  0.62620
0.48442                  0.25392                 -1.70182
-0.22760                 -0.01969                 -0.67862
-0.03751                  0.22533                  0.98977
0.85480                  0.50746                 -0.26128
-0.66284                 -0.68409                  0.42287
0.83865                  0.46480                 -1.40375
0.93060                  0.84872                 -2.11175
0.90199                  0.11117                 -0.93378
0.93568                  0.99828                 -4.10116
1.00697                  0.67190                  1.84282
0.55760                  0.93938                 -1.38101
0.56890                 -0.13540                 -1.50941
0.14904                  0.32600                 -1.09634
0.09856                 -0.47559                 -0.28457
0.34511                  0.34935                 -3.52027
0.28503                  0.43636                  0.01415
0.19259                  0.11317                  2.54407
0.91050                  1.79378                 -1.70301
-0.78499                 -0.85886                  1.13292
1.38927                  0.34548                 -1.89625
0.57427                 -0.25572                 -1.00813
-0.25723                  0.09941                 -0.24601
0.14153                 -0.68111                 -1.75610
1.50500                 -0.18865                  1.56154
0.47413                  0.76887                 -2.69481
0.24439                 -0.41002                  1.78762
1.21647                  0.47876                 -0.29155
0.49250                  0.26119                 -2.71312
-0.57888                 -0.91438                  3.08355
1.16156                  0.62595                 -2.83626
0.54601                 -0.15609                 -0.74594
0.15520                  0.93855                 -0.35133
0.24629                  0.33429                 -1.24779
0.11458                 -0.20997                 -0.59674
0.05861                  0.65485                 -2.86178
-0.65125                  1.07429                 -1.77733
0.65843                  0.27990                 -0.98046
0.58249                  0.23663                 -0.08989
-0.28479                 -0.78437                  1.53439
1.13321                  1.14110                 -4.53881
0.36891                  0.35013                 -1.85275
0.07964                 -0.14363                 -1.19706
0.66829                  0.43213                 -1.94665
0.50904                 -0.11590                 -0.83532
0.24153                  0.15401                 -1.58231
0.59013                 -0.34745                 -1.64213
0.58101                  0.99755                 -1.15921
0.54020                 -0.34237                 -1.90017
0.21859                 -0.13257                 -1.09407
-0.12855                  0.11791                 -0.32117
0.55863                  0.90100                 -1.10293
0.02118                 -0.21990                  0.88927
-0.60776                 -0.83082                  0.38749
-0.06740                 -0.34138                 -0.82107
0.45724                 -0.18143                 -0.02769
0.35723                  0.26043                  0.01921
0.18437                 -0.01196                 -0.25772
0.36667                  0.31734                 -1.15090
0.25184                 -0.31543                 -1.87528
0.40523                 -0.19857                 -2.54910
0.50475                  0.33874                  0.25250
0.06584                 -0.42773                  0.62045
0.85971                 -0.75474                  0.07090
0.53870                 -0.01856                 -1.78992
-0.29979                 -1.26932                  0.91343
0.44877                 -1.36365                 -0.27304
0.73375                 -0.39585                 -0.93259
0.17283                 -0.34931                 -0.20541
-0.60043                 -0.76821                  0.49703
0.46357                 -0.73750                  1.12522
0.15838                 -0.48032                 -0.23202
-0.55146                  0.20096                 -0.71882
0.16810                 -0.32295                  1.74376
0.03264                  0.32000                 -0.91906
0.43912                 -0.62365                 -0.53430
0.19232                  0.78002                 -0.89629
0.65362                  0.18584                 -0.73629
-0.04476                  0.19773                  0.23862
0.20268                  0.02580                  0.66008
0.88967                  0.28070                 -0.25782
-0.45774                 -0.03538                 -0.46515
0.75609                  0.24351                 -1.11851
0.04938                 -0.23583                 -0.47363
0.36526                 -0.39016                  0.96601
0.80717                 -0.91574                  3.91596
0.71704                 -0.13249                 -1.09789
0.34905                  0.24928                 -1.73507
0.25077                 -0.14572                 -0.44738
-0.36378                  0.58770                 -1.59639
0.19952                 -1.35459                  1.74225
0.13607                 -0.19989                 -0.33508
0.53232                 -0.63883                 -0.45061
-0.44248                 -0.64482                  0.16974
